playlist_id,track_name,artist(s)_name,artist_ids,album_name,album_id,track_id,Image URL,release_date,popularity
37i9dQZF1EIUmOL9yUxSUz,Karuna Bhare Kripa Bhare Mere Banke Bihari Sarkar,['Chitra Vichitra Ji Maharaj'],['6NqGneT9UxQ6ygqBpp8Hty'],Karuna Bhare Kripa Bhare Mere Banke Bihari Sarkar,7JD0qJkHMvsbNyA5GIuCWK,64PJeDWliOl6bwWaxIQn6F,https://i.scdn.co/image/ab67616d0000b273f3f4e61e6fbfb0e3f59430c2,2023-08-07,33
37i9dQZF1EIUmOL9yUxSUz,Gur Ki Gazak,['Zia Mohyeddin'],['5e7hI7b3h9olFWgwrOySUb'],"Zia Mohyeddin Ke Sath Ek Shaam, Vol. 26",2dQzakWgi8OGb4eF1UrVoa,2pM9TXIfsQUokNW5KCqBBx,https://i.scdn.co/image/ab67616d0000b273e04493b21c749495dea0b8ed,2018-10-19,6
37i9dQZF1EIUmOL9yUxSUz,Shankar Teri Jatta Me Bahti Hai Gang Dhara,['Pujya Rajan Ji Maharaj'],['3lJhbvCrGVqJ8AIvnn13ei'],Shankar Teri Jatta Me Bahti Hai Gang Dhara,7FYqhdTlk5jnn4fXWb8yoc,6GJjQjCQdzAsewmsmGuXDb,https://i.scdn.co/image/ab67616d0000b2737323115770ce78c3905a91e2,2023-09-20,32
37i9dQZF1EIUmOL9yUxSUz,Ayyub Khawar Ki Nazm,['Zia Mohyeddin'],['5e7hI7b3h9olFWgwrOySUb'],Zia Mohyeddin Ke Saath Eik Sham - Vol-9,1kfrvlOnutJIGaK9J9EGMy,7DMiefnWsutLdfXdFd35Zo,https://i.scdn.co/image/ab67616d0000b273a49819d04edf01f53b5a3e3f,1994-01-04,5
37i9dQZF1EIUmOL9yUxSUz,Radhe Radhe Govind Govind Radhe,['Hita Ambrish'],['1bM3XJOqcFo541Hlr2mdmH'],Shree Radha Naam Sankirtan,7v3UExhi4Wz2fn1Bzu9Ggh,0fSgknc9KAP5h3XZl4ENqV,https://i.scdn.co/image/ab67616d0000b273dbb890441d1cc56565fc6179,2021-11-29,30
37i9dQZF1EIUmOL9yUxSUz,Do Ishq,['Zia Mohyeddin'],['5e7hI7b3h9olFWgwrOySUb'],Faiz Sahab Ki Mohabbat Mein,1efFR0ZHtLdQAY2TRdgom4,5SvXh8jB9sPtefaZraxHq5,https://i.scdn.co/image/ab67616d0000b273fb296025e97d8261cb355617,1999-09-01,7
37i9dQZF1EIUmOL9yUxSUz,Ram Kahani Suno Re Ram Kahani Shri Ram Jai Ram Jai Jai Ram,['Ravindra Jain'],['0y633xrd3L3rSxpZ4awgnG'],Sunder Kaand,5adroGbhQzWKbQt3HOxQM8,7okrCf19RJ23HKUjoMBKp3,https://i.scdn.co/image/ab67616d0000b273518630bdc1822608fb41de34,2007-01-01,34
5FzeDvNpCq5qvzElpvFnET,Allah Allah Kar Bhaiya,"['Muhammad Ali Shehki', 'Allan Faqir']","['4s91JIDRnTZ5opyvVJJ5V4', '6DTs1FTgLJFPH53yWj8D4U']",Rung Tarang,4QJ1N78qkJjJKG7cBKxHHd,1refYakpJVOSfpl4dxpx7V,https://i.scdn.co/image/ab67616d0000b2730c4c68e0c98c6c6d624f6036,1990-04-01,16
5FzeDvNpCq5qvzElpvFnET,Kaise Ho Tum - Lofi Flip,"['Attharv Bhatt', 'Shivam Verma']","['212yUSfwVEYcA30CTPYPEi', '0knW6aShY2OVfQHMlmuJgM']",Kaise Ho Tum - Lofi Flip,2Thvcl8PPEfmftUzhs32mM,7kR5D9lfPFXTQbO9wxAWXu,https://i.scdn.co/image/ab67616d0000b273da98679a7489305bc1ba4f76,2013-02-07,22
5FzeDvNpCq5qvzElpvFnET,Kahan Se Tum Chale,"['Mehnaz', 'A. Nayyar']","['0CbyoZqwO11jQ1me84srfP', '7l2EdT2aIetIQ9IjNhtlNF']",Agar Tum Na Hote (Original Motion Picture Soundtrack),4VpiydRUHGJrYNc9dkpfTw,3Q1zmxMBh1qIV3kQgWCAye,https://i.scdn.co/image/ab67616d0000b2739e44231f0a9d4d7af48fcd18,1986,1
5FzeDvNpCq5qvzElpvFnET,Ghar Wapis Jab Aao Ge,['Asad Amanat Ali Khan'],['3Sffs8Q9AIdsRlF7jPvL8S'],Asad Amanat Ali Khan Sings Altaf Gauhar,1XwmXtiEL7Vc6w2WRUiyG1,2ufcdsxrATfRgtPOrCmYGm,https://i.scdn.co/image/ab67616d0000b273eb9f3dff741e00c2444a2209,1988-12-01,19
