danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.638,0.159,7,-15.885,1,0.651,0.913,0.0,0.238,0.305,98.648,audio_features,1T5dFfZk4QjBPkkEDUibzn,spotify:track:1T5dFfZk4QjBPkkEDUibzn,https://api.spotify.com/v1/tracks/1T5dFfZk4QjBPkkEDUibzn,https://api.spotify.com/v1/audio-analysis/1T5dFfZk4QjBPkkEDUibzn,146000,3
0.675,0.626,5,-6.196,0,0.0486,0.485,1.38e-06,0.233,0.237,171.925,audio_features,04AfqcZXFN3bw5gYDs5h7e,spotify:track:04AfqcZXFN3bw5gYDs5h7e,https://api.spotify.com/v1/tracks/04AfqcZXFN3bw5gYDs5h7e,https://api.spotify.com/v1/audio-analysis/04AfqcZXFN3bw5gYDs5h7e,400990,4
0.584,0.129,8,-20.535,0,0.348,0.941,0.0,0.101,0.294,111.142,audio_features,33mY8rEEPEgvai3Gjtiaff,spotify:track:33mY8rEEPEgvai3Gjtiaff,https://api.spotify.com/v1/tracks/33mY8rEEPEgvai3Gjtiaff,https://api.spotify.com/v1/audio-analysis/33mY8rEEPEgvai3Gjtiaff,162693,4
0.609,0.42,9,-11.724,1,0.347,0.885,0.0,0.362,0.487,66.47,audio_features,1CbJaq9xOfKtuwAYe6QgaQ,spotify:track:1CbJaq9xOfKtuwAYe6QgaQ,https://api.spotify.com/v1/tracks/1CbJaq9xOfKtuwAYe6QgaQ,https://api.spotify.com/v1/audio-analysis/1CbJaq9xOfKtuwAYe6QgaQ,124791,5
0.646,0.135,5,-20.02,0,0.885,0.667,0.0,0.0826,0.291,92.182,audio_features,7aTmaxFZTVb80N3fIEA8qv,spotify:track:7aTmaxFZTVb80N3fIEA8qv,https://api.spotify.com/v1/tracks/7aTmaxFZTVb80N3fIEA8qv,https://api.spotify.com/v1/audio-analysis/7aTmaxFZTVb80N3fIEA8qv,158333,3
0.287,0.539,3,-8.221,0,0.0505,0.883,0.0646,0.16,0.379,155.687,audio_features,47d5DMO2WRxoRBokuRhkOU,spotify:track:47d5DMO2WRxoRBokuRhkOU,https://api.spotify.com/v1/tracks/47d5DMO2WRxoRBokuRhkOU,https://api.spotify.com/v1/audio-analysis/47d5DMO2WRxoRBokuRhkOU,301296,3
0.581,0.184,1,-17.017,1,0.76,0.76,0.0,0.335,0.627,138.157,audio_features,317XFCK4BLVKdap1wF0DgH,spotify:track:317XFCK4BLVKdap1wF0DgH,https://api.spotify.com/v1/tracks/317XFCK4BLVKdap1wF0DgH,https://api.spotify.com/v1/audio-analysis/317XFCK4BLVKdap1wF0DgH,60987,5
0.483,0.673,8,-5.927,1,0.0354,0.573,0.0,0.352,0.723,134.65,audio_features,6elY5Bh6CZ7L3Wlux1KQLu,spotify:track:6elY5Bh6CZ7L3Wlux1KQLu,https://api.spotify.com/v1/tracks/6elY5Bh6CZ7L3Wlux1KQLu,https://api.spotify.com/v1/audio-analysis/6elY5Bh6CZ7L3Wlux1KQLu,447402,4
0.592,0.218,11,-19.95,0,0.677,0.942,3.44e-06,0.511,0.447,36.317,audio_features,5LnivUBCptvqg1HOeTSebQ,spotify:track:5LnivUBCptvqg1HOeTSebQ,https://api.spotify.com/v1/tracks/5LnivUBCptvqg1HOeTSebQ,https://api.spotify.com/v1/audio-analysis/5LnivUBCptvqg1HOeTSebQ,53920,4
0.368,0.439,10,-7.16,1,0.0344,0.831,2.27e-06,0.121,0.616,77.948,audio_features,193vqVFl1Ug2bBEelVx0QN,spotify:track:193vqVFl1Ug2bBEelVx0QN,https://api.spotify.com/v1/tracks/193vqVFl1Ug2bBEelVx0QN,https://api.spotify.com/v1/audio-analysis/193vqVFl1Ug2bBEelVx0QN,329750,4
